iter	Passed	Remaining
554	36869	29562
555	36941	29499
556	37009	29435
557	37066	29360
558	37139	29300
559	37201	29229
560	37275	29169
561	37343	29104
562	37406	29034
563	37473	28968
564	37539	28901
565	37595	28827
566	37661	28760
567	37726	28693
568	37786	28622
569	37863	28563
570	37936	28502
571	38000	28433
572	38070	28370
573	38129	28298
574	38208	28241
575	38271	28172
576	38338	28105
577	38415	28047
578	38447	27955
579	38512	27888
580	38577	27821
581	38640	27752
582	38684	27669
583	38710	27574
584	38730	27475
585	38771	27391
586	38826	27317
587	38878	27241
588	38969	27192
589	39057	27141
590	39159	27100
591	39249	27050
592	39318	26985
593	39420	26944
594	39488	26879
595	39564	26818
596	39638	26757
597	39708	26693
598	39809	26650
599	39867	26578
600	39935	26512
601	40004	26448
602	40079	26387
603	40136	26314
604	40191	26240
605	40272	26183
606	40331	26112
607	40390	26041
608	40463	25979
609	40524	25909
610	40596	25846
611	40670	25784
612	40713	25703
613	40782	25638
614	40846	25570
615	40914	25504
616	40986	25442
617	41062	25381
618	41143	25324
619	41232	25271
620	41297	25204
621	41365	25138
622	41441	25077
623	41508	25011
624	41565	24939
625	41633	24873
626	41704	24809
627	41762	24738
628	41829	24671
629	41901	24608
630	41954	24534
631	42053	24486
632	42121	24421
633	42198	24360
634	42305	24317
635	42412	24273
636	42501	24219
637	42581	24160
638	42653	24096
639	42708	24023
640	42772	23955
641	42833	23885
642	42892	23814
643	42963	23749
644	43033	23685
645	43100	23618
646	43179	23558
647	43252	23495
648	43313	23425
649	43357	23346
650	43422	23278
651	43440	23186
652	43514	23123
653	43592	23062
654	43650	22991
655	43681	22906
656	43754	22843
657	43808	22769
658	43890	22711
659	43969	22650
660	44032	22582
661	44114	22523
662	44192	22462
663	44293	22413
664	44319	22326
665	44393	22263
666	44478	22205
667	44547	22140
668	44617	22075
669	44689	22011
670	44750	21941
671	44872	21901
672	44941	21836
673	45039	21784
674	45141	21735
675	45208	21667
676	45301	21613
677	45396	21560
678	45470	21496
679	45550	21435
680	45561	21342
681	45645	21283
682	45670	21197
683	45743	21132
684	45810	21066
685	45881	21001
686	45952	20935
687	46046	20881
688	46061	20791
689	46140	20729
690	46216	20667
691	46293	20604
692	46361	20538
693	46421	20468
694	46481	20398
695	46554	20334
696	46635	20273
697	46684	20198
698	46769	20139
699	46862	20084
700	46889	20000
701	46957	19933
702	47029	19868
703	47106	19806
704	47185	19744
705	47244	19674
706	47310	19606
707	47367	19535
708	47449	19475
709	47536	19416
710	47605	19350
711	47689	19290
712	47758	19223
713	47800	19146
714	47838	19068
715	47922	19008
716	48016	18952
717	48080	18884
718	48154	18819
719	48224	18753
720	48291	18687
721	48352	18617
722	48435	18556
723	48466	18476
724	48560	18419
725	48651	18361
726	48720	18295
727	48801	18233
728	48867	18166
729	48924	18095
730	48990	18028
731	49049	17957
732	49076	17876
733	49136	17806
734	49198	17738
735	49266	17671
736	49294	17591
737	49357	17522
738	49428	17457
739	49501	17392
740	49589	17332
741	49651	17264
742	49719	17197
743	49804	17137
744	49874	17071
745	49954	17008
746	49972	16925
747	50039	16858
748	50108	16792
749	50172	16724
750	50225	16652
751	50258	16574
752	50313	16503
753	50371	16434
754	50429	16364
755	50501	16299
756	50579	16236
757	50648	16170
758	50718	16104
759	50793	16039
760	50853	15970
761	50913	15902
762	50973	15833
763	51042	15767
764	51101	15697
765	51170	15631
766	51230	15562
767	51299	15496
768	51363	15428
769	51370	15344
770	51429	15275
771	51479	15203
772	51495	15122
773	51522	15043
774	51584	14976
775	51654	14910
776	51724	14845
777	51778	14774
778	51840	14706
779	51855	14626
780	51935	14563
781	52008	14498
782	52078	14432
783	52142	14365
784	52207	14298
785	52276	14232
786	52331	14163
787	52391	14095
788	52445	14025
789	52458	13944
790	52506	13873
791	52554	13802
792	52569	13722
793	52628	13654
794	52702	13589
795	52766	13523
796	52809	13450
797	52862	13381
798	52928	13315
799	52995	13248
800	53043	13178
801	53097	13108
802	53157	13041
803	53213	12972
804	53281	12906
805	53331	12836
806	53376	12765
807	53419	12693
808	53474	12625
809	53517	12553
810	53563	12482
811	53624	12415
812	53692	12349
813	53743	12280
814	53790	12210
815	53859	12144
816	53909	12075
817	53941	12001
818	54003	11934
819	54048	11864
820	54089	11793
821	54132	11722
822	54150	11645
823	54188	11574
824	54251	11507
825	54315	11441
826	54373	11374
827	54444	11309
828	54501	11242
829	54548	11172
830	54599	11103
831	54626	11030
832	54666	10959
833	54716	10890
834	54773	10823
835	54814	10753
836	54864	10684
837	54912	10615
838	54941	10543
839	54958	10468
840	54975	10393
841	55029	10326
842	55076	10257
843	55126	10189
844	55184	10122
845	55238	10055
846	55295	9988
847	55354	9921
848	55418	9856
849	55433	9782
850	55502	9717
851	55544	9648
852	55588	9579
853	55629	9510
854	55684	9443
855	55730	9375
856	55771	9306
857	55831	9240
858	55877	9171
859	55930	9104
860	55970	9035
861	55991	8963
862	56046	8897
863	56107	8831
864	56184	8768
865	56204	8696
866	56233	8626
867	56241	8552
868	56290	8485
869	56310	8414
870	56344	8345
871	56392	8277
872	56426	8208
873	56458	8139
874	56496	8070
875	56533	8002
876	56545	7930
877	56594	7863
878	56623	7794
879	56650	7725
880	56692	7657
881	56730	7589
882	56765	7521
883	56801	7453
884	56843	7386
885	56886	7319
886	56925	7252
887	56974	7185
888	57011	7118
889	57040	7049
890	57074	6982
891	57111	6914
892	57118	6844
893	57153	6776
894	57212	6712
895	57257	6645
896	57288	6578
897	57348	6513
898	57369	6445
899	57405	6378
900	57436	6311
901	57489	6246
902	57525	6179
903	57569	6113
904	57619	6048
905	57683	5984
906	57747	5921
907	57791	5855
908	57827	5789
909	57884	5724
910	57921	5658
911	57953	5591
912	57978	5524
913	58012	5458
914	58034	5391
915	58090	5327
916	58129	5261
917	58165	5195
918	58217	5131
919	58260	5066
920	58279	4998
921	58325	4934
922	58368	4869
923	58404	4803
924	58437	4738
925	58467	4672
926	58504	4607
927	58533	4541
928	58564	4475
929	58597	4410
930	58644	4346
931	58694	4282
932	58742	4218
933	58806	4155
934	58865	4092
935	58899	4027
936	58969	3964
937	59033	3901
938	59072	3837
939	59112	3773
940	59153	3708
941	59195	3644
942	59228	3580
943	59261	3515
944	59313	3452
945	59350	3387
946	59393	3324
947	59437	3260
948	59490	3197
949	59535	3133
950	59589	3070
951	59626	3006
952	59663	2942
953	59694	2878
954	59725	2814
955	59770	2750
956	59823	2687
957	59869	2624
958	59910	2561
959	59964	2498
960	60013	2435
961	60054	2372
962	60086	2308
963	60118	2245
964	60157	2181
965	60190	2118
966	60233	2055
967	60264	1992
968	60316	1929
969	60351	1866
970	60379	1803
971	60414	1740
972	60453	1677
973	60499	1614
974	60509	1551
975	60553	1489
976	60608	1426
977	60648	1364
978	60681	1301
979	60717	1239
980	60757	1176
981	60791	1114
982	60823	1051
983	60862	989
984	60901	927
985	60923	865
986	60940	802
987	60958	740
988	60978	678
989	60995	616
990	61022	554
991	61045	492
992	61058	430
993	61078	368
994	61110	307
995	61142	245
996	61177	184
997	61201	122
998	61225	61
999	61246	0
99	63658	0
18
996	79313	238
997	79386	159
998	79418	79
999	79466	0
